"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","7","384856556","54979508","98.2193263257677"
"hipMemcpyAsync","12","5881544","490128","1.50103013818832"
"hipLaunchKernel","8","782963","97870","0.19982015948301"
"hipStreamDestroy","1","236399","236399","0.0603314407981273"
"hipFree","7","41829","5975","0.0106751882924415"
"__hipPopCallConfiguration","8","11265","1408","0.00287494312831655"
"__hipPushCallConfiguration","8","11186","1398","0.00285478152093643"
"hipStreamSynchronize","2","6073","3036","0.00154989166606892"
"hipStreamCreate","1","6023","6023","0.00153713115506885"
"Total","54","391833838","7256182","100.0"
